ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
AMZN,1997-12-31,58.5,60.38,58.13,60.25,370500.0,0.0,1.0,4.875,5.031666666666666,4.844166666666666,5.020833333333333,4446000.0
AMZN,1998-01-02,60.0,60.0,57.56,59.5,138400.0,0.0,1.0,5.0,5.0,4.796666666666667,4.958333333333333,1660800.0
AMZN,1998-01-05,58.63,59.25,56.5,57.0,299200.0,0.0,1.0,4.885833333333333,4.9375,4.708333333333333,4.75,3590400.0
AMZN,1998-01-06,56.38,58.5,56.0,58.06,347900.0,0.0,1.0,4.698333333333333,4.875,4.666666666666666,4.838333333333333,4174800.0
AMZN,1998-01-07,58.0,58.0,56.31,57.38,227100.0,0.0,1.0,4.833333333333333,4.833333333333333,4.6925,4.781666666666666,2725200.0
AMZN,1998-01-08,56.38,56.44,54.38,55.38,501300.0,0.0,1.0,4.698333333333333,4.703333333333333,4.531666666666666,4.615,6015600.0
AMZN,1998-01-09,56.0,56.0,50.75,51.13,553600.0,0.0,1.0,4.666666666666666,4.666666666666666,4.229166666666666,4.260833333333333,6643200.0
AMZN,1998-01-12,50.0,52.63,49.75,51.63,616800.0,0.0,1.0,4.166666666666666,4.385833333333333,4.145833333333333,4.3025,7401600.0
AMZN,1998-01-13,52.13,56.0,51.88,55.75,610100.0,0.0,1.0,4.344166666666666,4.666666666666666,4.323333333333333,4.645833333333333,7321200.0
AMZN,1998-01-14,55.88,58.5,55.5,58.5,708800.0,0.0,1.0,4.656666666666666,4.875,4.625,4.875,8505600.0
AMZN,1998-01-15,57.5,60.13,57.5,59.44,501200.0,0.0,1.0,4.791666666666666,5.010833333333333,4.791666666666666,4.953333333333333,6014400.0
AMZN,1998-01-16,59.5,59.75,57.25,57.5,213600.0,0.0,1.0,4.958333333333333,4.979166666666666,4.770833333333333,4.791666666666666,2563200.0
AMZN,1998-01-20,57.88,60.13,57.75,59.44,455600.0,0.0,1.0,4.823333333333333,5.010833333333333,4.8125,4.953333333333333,5467200.0
AMZN,1998-01-21,59.25,62.0,58.5,60.88,728200.0,0.0,1.0,4.9375,5.166666666666666,4.875,5.073333333333333,8738400.0
